Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
13.05.2017;00:00;00:00;109.925;48.977;19.805;62.551,75;155.426,5;4.755,75;175.597,5;358.893,75;166.867,25;45.347;15.844;106.070,5
14.05.2017;00:00;00:00;110.173;47.757;21.054;62.172;151.418,5;4.729,25;150.971,75;353.057,5;114.041,25;42.689,25;16.092,25;91.313,5
15.05.2017;00:00;00:00;109.666,75;51.293,75;14.696,25;52.787,5;192.918,5;4.819;163.631,25;351.758;243.156,5;64.907;28.595,75;138.672,75
16.05.2017;00:00;00:00;109.092,25;52.336,75;60.472,25;65.151;179.569,75;4.648,25;185.276,75;365.646,5;250.519,5;67.009,75;24.267;138.951,25
17.05.2017;00:00;00:00;109.329,25;51.500,75;27.734,75;128.913;220.508;4.456,25;185.871,75;357.062,5;225.343,25;65.855;26.047;135.991
18.05.2017;00:00;00:00;108.855,75;51.729;42.810;176.490,5;178.859;4.386,75;184.648;358.128,5;199.875,75;61.294,75;29.830,5;119.891,5
19.05.2017;00:00;00:00;109.677,75;52.481;34.483,75;162.793;122.883,25;4.421,75;180.871,5;368.147,5;186.165,5;58.124,75;23.408,5;120.055,5
20.05.2017;00:00;00:00;110.747;51.414,5;22.240;153.455,25;171.477,75;4.392,75;184.255,25;359.596,75;87.003,75;37.440,75;26.545;91.671,25
21.05.2017;00:00;00:00;110.940,5;47.256;19.067,5;50.261,75;198.571,5;4.352,5;185.210,75;340.156,25;85.026,5;36.179;13.786,75;86.947
22.05.2017;00:00;00:00;110.839,25;46.912,25;10.191,5;53.489,5;210.583,75;4.511,25;186.457,5;361.001,5;247.335,25;58.605,25;27.138,5;124.874,75
23.05.2017;00:00;00:00;110.697,5;49.341,75;41.941;176.045,5;200.260;4.430,75;185.999,25;356.185,5;203.344,25;63.602,75;31.072,25;127.381,75
24.05.2017;00:00;00:00;111.427,75;49.724,25;26.731,25;252.401,5;144.804,25;4.640,25;186.039,75;361.798,75;182.325,5;49.614;30.366;117.402,25
25.05.2017;00:00;00:00;111.042,25;50.639,75;21.716;129.835;187.870,25;4.518,5;185.625;339.812,25;77.676;29.708,5;19.438,25;85.521,75
26.05.2017;00:00;00:00;110.449;48.426,75;5.954,25;81.325,5;231.033,5;4.607;184.778,5;346.891;96.764,5;29.294,5;32.797;104.667,5
27.05.2017;00:00;00:00;109.102,75;49.201,5;45.167,75;147.772,75;241.582,25;4.387,5;183.446,75;310.223;60.503,75;24.290,25;29.074,75;90.689,75
28.05.2017;00:00;00:00;108.260,75;48.308;42.344,5;140.701;216.449,75;4.330,75;183.256;296.421,25;72.230,25;26.695,5;24.471,5;76.301,25
29.05.2017;00:00;00:00;107.320;49.465,25;8.133;46.207;208.705,75;4.316,5;181.891,5;352.360;235.347;85.544,5;44.902,5;109.526
30.05.2017;00:00;00:00;107.258,5;51.873;23.383,25;169.143;166.432;4.299,5;182.130;349.665,75;253.258,25;99.164,75;27.954,5;118.501,75
31.05.2017;00:00;00:00;107.749;52.837,5;63.985,75;253.357,25;197.221;4.281,75;180.176,5;349.139;196.969,25;67.437;23.818;103.235,25
01.06.2017;00:00;00:00;108.290,5;53.531;12.866,5;86.654,75;224.958,75;4.297,5;201.206;353.749,25;201.361,75;65.637,75;24.505,75;112.533,75
02.06.2017;00:00;00:00;107.796,25;53.388;3.436,5;36.313,5;209.005,25;3.968,25;215.362;354.550,25;229.603,25;68.306,75;24.139,25;116.857,75
03.06.2017;00:00;00:00;107.215,25;53.792;5.479,5;97.480;165.066,75;4.000,75;214.919,75;314.678;99.858,25;54.609,25;26.522;81.467,25
04.06.2017;00:00;00:00;106.764,5;53.894,75;27.402;200.795;121.294,5;4.053,75;207.926;283.239,75;49.948,5;33.996,5;15.871,5;79.531,25
05.06.2017;00:00;00:00;107.619,75;53.221,25;36.193,25;69.342;162.743,5;4.034,5;215.578,25;314.652,75;55.987,75;34.175,75;31.687,25;82.933,5
06.06.2017;00:00;00:00;106.443;53.023,75;94.874,25;336.369,5;126.135,75;3.989,5;215.124,5;322.341;57.599;40.213;33.000,5;105.307,25
07.06.2017;00:00;00:00;106.763;54.443,5;101.505,5;567.359,75;165.245;3.915,25;201.384,25;266.624,5;36.672,5;35.624,75;21.706,5;100.066,5
08.06.2017;00:00;00:00;107.751;53.667,5;64.318,75;244.711,75;191.850,5;3.872,5;216.995,5;337.714,5;81.883,75;45.673,5;32.954,75;114.765,25
09.06.2017;00:00;00:00;107.329,5;52.026,25;33.539;211.785,75;164.357;3.943,25;217.112;348.721,5;107.234,5;47.323;30.995,25;116.915,75
10.06.2017;00:00;00:00;107.812;51.326,75;22.647,25;63.320,5;214.436,75;4.007,75;216.677,75;339.228,75;79.661,75;36.038,25;28.485,25;88.575
11.06.2017;00:00;00:00;107.488,5;49.166,75;60.824,75;126.334,5;221.956,75;3.986,25;214.071,5;315.745,75;59.666,75;32.292,25;26.977;83.768,25
12.06.2017;00:00;00:00;106.503,5;48.548,5;93.475,75;399.200,25;171.740,5;3.961;210.271,25;311.404;74.055,75;38.826;28.550,25;102.957
13.06.2017;00:00;00:00;107.336;50.430;55.860,75;271.706,75;177.166;3.963,25;212.121,25;330.008;139.217,75;60.695,75;28.736,75;110.490,25
14.06.2017;00:00;00:00;107.245,5;51.007;9.233;62.765,5;230.812;3.932,5;214.296;346.190,75;200.905,75;66.792,25;39.160,25;108.300,25
15.06.2017;00:00;00:00;106.993,75;50.526,25;35.928,25;98.645;211.230;3.897,75;215.336,75;351.966,25;127.625,75;56.015;24.012;102.510,5
16.06.2017;00:00;00:00;107.177,5;50.506,5;75.540,5;393.121;165.301,75;3.904,25;210.205,5;332.263,5;40.653;34.584,25;32.545,5;91.469,25
17.06.2017;00:00;00:00;108.294;49.207;28.891,75;255.160,5;158.350;3.989;216.179;334.168,5;69.305,25;36.666,75;27.190,75;91.858,25
18.06.2017;00:00;00:00;108.170,25;46.793,5;9.749,5;37.695,75;219.198,25;3.932,25;212.898,75;349.890,5;80.536,75;41.779,5;18.908,5;82.906
19.06.2017;00:00;00:00;106.615;45.765,75;3.900,5;27.077;237.841,75;3.907,75;210.791;365.546;239.666,25;80.856;38.432,25;112.957,75
20.06.2017;00:00;00:00;106.198,5;47.114,5;26.188,75;110.257;218.023;3.851;211.194;348.075,75;277.143,75;82.927,75;20.632,25;115.357,75
21.06.2017;00:00;00:00;107.376,5;47.821;7.080,75;54.737,75;218.322,25;3.846,5;210.793;363.110,5;277.390;86.753,5;29.334;110.805
22.06.2017;00:00;00:00;105.652,25;47.281;47.717,25;189.943,5;188.271,75;3.840,25;212.623,75;357.215,5;212.862,75;80.271;25.965,75;125.632,5
23.06.2017;00:00;00:00;105.498,5;46.089;70.530,5;363.395,5;169.411,75;3.832,5;207.710;334.327,75;119.104,75;55.650,25;26.726,25;103.702,75
24.06.2017;00:00;00:00;106.534,75;45.710,5;69.575;314.954,25;171.519,25;3.946;196.505;323.416;31.628,75;29.764;28.895,75;85.784,25
25.06.2017;00:00;00:00;107.422,5;45.640,25;66.712,75;279.171,75;121.687;3.982,75;207.276;314.066,5;29.410,5;25.520;19.919,5;74.480
26.06.2017;00:00;00:00;107.162,75;49.026,75;51.367,75;174.463;191.584,25;3.923,5;213.337,5;365.364,5;153.241,5;68.396,25;24.912;105.000,25
27.06.2017;00:00;00:00;107.156;47.795,25;15.031,5;68.622,25;151.238;3.898,25;213.410,25;372.691,25;233.406,25;97.715,25;39.049,5;127.770,5
28.06.2017;00:00;00:00;106.742,75;48.694,75;78.612,5;188.615,5;142.153,75;3.988,75;213.253;371.779,75;176.866;80.467;28.927,5;126.101,25
29.06.2017;00:00;00:00;107.016,5;50.367,75;8.845,25;166.937,25;105.580,25;3.988,5;212.088,75;361.777;195.299;85.537,25;25.766,25;137.698,25
30.06.2017;00:00;00:00;106.969,5;52.489,75;30.958,25;359.574,75;150.378,5;3.934,25;211.741,25;340.556,75;91.922;52.842,25;28.263;103.975
01.07.2017;00:00;00:00;106.260,5;50.566,5;50.644,75;273.282,25;109.991;3.740;213.406,25;329.770,75;43.336,5;34.987,75;18.041,5;92.565,5
02.07.2017;00:00;00:00;106.061,5;47.515,25;55.626,25;260.821,5;106.359,75;3.758,25;209.850,75;317.484,75;42.135,25;32.674,75;11.286;75.134,75
03.07.2017;00:00;00:00;106.135;48.788,5;55.722,25;218.539,25;196.601,75;3.752,5;213.657,5;334.953,5;112.600,25;60.823,25;23.888,75;115.659
04.07.2017;00:00;00:00;105.515,25;49.333,75;32.022,25;162.286;193.725,75;3.732,75;212.146;341.597,25;179.771;74.654,25;25.375,5;138.543,25
05.07.2017;00:00;00:00;106.139;47.749,25;3.702,75;28.617,75;201.440,5;3.704,25;212.451,25;361.223,25;245.959,25;87.162,25;23.757;147.673
06.07.2017;00:00;00:00;105.960,5;47.189;3.038,5;31.231,25;217.343,5;3.733,25;213.563,25;361.649,5;249.626,5;104.442;27.772,25;149.171
07.07.2017;00:00;00:00;106.154,5;46.589;4.501,75;129.851,25;173.787,5;3.761,75;205.091,5;350.857,75;226.945,75;101.159;30.078,5;146.073
08.07.2017;00:00;00:00;105.647,5;46.579,25;19.554,75;110.176;181.670;3.776,25;161.496,5;338.460,75;137.357,75;65.199,75;14.250,75;111.459,5
09.07.2017;00:00;00:00;105.709;46.337;5.160;38.320,25;180.651;3.811;153.041;341.638,5;122.820;50.909,25;13.163,25;107.106,75
10.07.2017;00:00;00:00;105.290,75;47.633;2.931;82.353;127.006;4.023,25;153.629,75;349.747,25;225.853;114.270;41.370,25;150.139,5
11.07.2017;00:00;00:00;105.348;50.070,5;28.766,25;144.592,75;152.590,25;3.891,5;153.589,5;349.028;178.544,75;101.452,5;17.205,75;165.442,25
12.07.2017;00:00;00:00;105.707,75;50.075,5;59.090,75;259.512,75;90.655,5;3.913,75;154.453,25;344.029,25;133.820,75;83.846,25;23.086;160.275,75
13.07.2017;00:00;00:00;106.065,75;49.014,75;34.174;186.766,5;200.408,5;3.992,25;155.336;358.150;128.874,5;79.120,75;24.857;138.676,75
14.07.2017;00:00;00:00;106.444,75;48.661,75;17.618,25;58.256,5;149.476,75;3.797,25;154.290,25;355.031,25;154.894;86.808;18.323,25;159.904,75
15.07.2017;00:00;00:00;106.127;49.395;13.455;71.156,75;154.732,25;3.802,5;154.986,25;326.464,5;117.106,5;62.495,25;12.130,75;133.429
16.07.2017;00:00;00:00;106.470,5;47.007,5;44.303;113.516;152.480,75;3.781;154.712,75;330.894;87.565,5;43.878;16.232,5;102.374
17.07.2017;00:00;00:00;106.146;46.038,25;27.918;70.863;177.550,5;3.740;154.508,25;336.517,5;205.766,75;90.442;20.809,25;140.960,75
18.07.2017;00:00;00:00;105.889,25;45.906,75;6.873,75;57.929;216.312,25;3.731;153.674,75;332.192,75;224.289,5;99.651;24.095,5;144.216,75
19.07.2017;00:00;00:00;105.334,5;46.875,5;59.329,5;169.887,25;212.238,75;3.695,75;152.662,25;328.517,5;170.315;89.622,75;21.705,75;134.309,5
20.07.2017;00:00;00:00;105.045,5;46.661,25;32.385,25;134.415,75;133.954,25;3.734,75;152.773,25;313.226,25;182.218;99.864,5;21.376,25;151.795,25
21.07.2017;00:00;00:00;105.989,5;48.296,75;22.312,75;82.535,75;204.260,25;3.756,25;153.480;326.638,25;166.952,25;84.113,75;17.213,5;146.889,75
22.07.2017;00:00;00:00;105.837,25;47.045,75;50.634,5;121.348,5;161.241,75;3.745;153.087,5;336.664;99.159,25;50.825,5;13.905,75;100.807,25
23.07.2017;00:00;00:00;105.819;47.260,75;27.326,75;191.503,25;141.338,25;3.762;146.145,75;308.788,5;65.162,25;37.078,25;11.434,25;83.497
24.07.2017;00:00;00:00;106.241,75;48.861,5;6.703,75;70.127,25;95.695,25;3.795,5;154.860,75;346.293,25;219.359,75;93.636;25.561;137.927,5
25.07.2017;00:00;00:00;106.146,75;51.430,5;40.584;238.058,5;72.041,5;3.959,75;155.877,5;340.525,5;174.655,25;66.091,75;13.761,25;150.891
26.07.2017;00:00;00:00;105.523,5;53.109,25;8.850;250.352,25;83.032,5;3.938,25;155.163,25;347.220,75;171.160,25;68.484,5;26.710,5;142.112,75
27.07.2017;00:00;00:00;106.112,75;49.197;40.885;142.336,5;104.742,75;3.882,75;179.728,25;365.473;154.299;64.076,75;20.135,5;139.994,25
28.07.2017;00:00;00:00;106.123,75;52.297,5;50.136,25;229.001,75;160.097;3.807,75;187.083,75;344.751;81.195,5;41.478,75;22.369;96.290,75
29.07.2017;00:00;00:00;106.414,5;52.513;58.181,25;241.750,5;168.388,25;3.798,5;181.467,75;290.283,5;39.253,75;27.923,5;28.488,5;82.861,5
30.07.2017;00:00;00:00;105.331,75;50.638,25;39.905;293.999,25;183.221,25;3.737,25;173.253,75;225.635,5;40.612,5;26.337,5;18.720,75;81.187,25
31.07.2017;00:00;00:00;105.497,25;53.488;32.574,75;95.986,75;183.304,25;3.976,75;215.608,25;330.730,25;117.435,75;52.882,75;32.651,25;111.769,5
01.08.2017;00:00;00:00;103.872,75;52.550,25;8.914;92.980;159.888,25;4.186;215.255,75;344.459;164.069;65.094;21.428,5;132.458
02.08.2017;00:00;00:00;104.394,5;52.166;24.428,5;72.738;165.589,75;4.156,25;215.182;351.663,75;161.774;67.260,75;25.066;136.206,25
03.08.2017;00:00;00:00;104.333,5;51.437,5;86.327;297.032;120.165,75;4.075,75;213.204,75;339.447,5;83.061,25;40.933,5;22.882,25;106.627
04.08.2017;00:00;00:00;105.744,5;49.950,25;86.610,75;369.571,75;145.631;4.088,5;212.404,75;333.480,25;47.940,75;35.563,75;27.759;87.373,75
05.08.2017;00:00;00:00;106.100,5;50.455,25;47.317,75;192.132;148.608,5;4.156,75;214.195;361.960,25;32.546,25;29.896;20.397,75;64.645,25
06.08.2017;00:00;00:00;105.578;50.180;47.750,25;136.460,75;164.459,75;4.146,25;208.406,75;331.121,25;38.535,75;28.749,5;18.327,25;61.817
07.08.2017;00:00;00:00;104.980,25;47.985,5;36.568,5;73.074,25;216.117,5;4.322,75;211.509,75;384.715,25;88.404,75;50.098,75;19.442,75;94.682,5
08.08.2017;00:00;00:00;104.437,75;49.064,5;37.846,75;202.846,75;143.739,25;4.298;210.447;377.844,75;114.036,75;53.667;21.164,5;119.564,75
09.08.2017;00:00;00:00;105.305,75;51.219,75;58.887,5;163.308,25;169.033,75;4.170,75;209.843,75;382.376,25;103.997,75;45.677;23.760;112.939,25
10.08.2017;00:00;00:00;105.689,75;51.500;14.467;85.265,75;71.162,5;4.467,5;207.989,25;383.706,5;154.388,75;64.713;27.837;139.700
11.08.2017;00:00;00:00;107.179,75;49.953;5.859,25;101.913,25;42.196,75;4.468,25;214.535,75;354.188,25;172.550,75;70.491;28.095,25;132.897
12.08.2017;00:00;00:00;107.496;51.617;40.498;255.193,5;80.903;4.269,75;213.493;324.164,5;34.277,5;27.933,75;14.256;82.799,75
13.08.2017;00:00;00:00;107.381,75;53.820,5;26.612,5;97.311,75;141.156,25;4.178,75;227.101,5;316.811,5;40.127;22.667,75;17.843,75;72.817,75
14.08.2017;00:00;00:00;106.466,75;53.191,25;30.090,5;81.414;201.026,25;4.324,25;234.355;352.158,5;88.663,75;38.112,5;28.539,5;86.321,5
15.08.2017;00:00;00:00;105.489,75;52.059,25;24.486;172.571,5;172.203;4.195;232.686;362.692;89.366;30.227,75;25.431,5;76.273,25
16.08.2017;00:00;00:00;105.887;52.317;15.819,25;53.759,5;150.676,75;4.313,5;240.682,25;391.464,25;155.462,5;45.678,25;23.864,5;118.611
17.08.2017;00:00;00:00;106.148,75;53.434,5;59.611,75;145.973,5;143.190,75;4.199,75;240.980,75;385.517,25;148.337,75;48.707,5;25.072,75;124.723,75
18.08.2017;00:00;00:00;106.475;52.509;42.527;143.223,5;125.638;4.329,75;241.583,5;391.170;138.281,5;49.887,25;24.823,5;98.199,75
19.08.2017;00:00;00:00;107.299,75;52.595;76.217;284.524,75;140.370;4.256,5;238.954,75;298.457,75;28.818,75;24.312,25;22.845,25;80.176,25
20.08.2017;00:00;00:00;108.049,25;50.654,5;86.701,5;233.063,5;156.867,25;4.094,5;225.182,75;251.451,25;26.424;22.047,5;15.181,25;72.622
21.08.2017;00:00;00:00;107.234;48.662,75;50.729,75;177.205;158.356;4.382;243.518,5;377.513;133.708,25;30.503,5;19.402,5;86.331
22.08.2017;00:00;00:00;107.187,5;48.858,5;13.856;77.714,25;173.373,25;4.299,5;244.206,25;379.682,25;182.491,5;31.961,75;26.891,75;107.754,5
23.08.2017;00:00;00:00;107.636,75;48.287,25;16.862,25;51.358;199.193,25;4.284,75;243.829;390.215,75;191.130;30.576,75;22.255;115.656,25
24.08.2017;00:00;00:00;107.384,5;46.982;55.469,25;141.664,5;146.339;4.254,75;242.728,25;371.231,25;200.506;35.664;28.772,75;121.630,25
25.08.2017;00:00;00:00;107.381,25;49.834,25;22.042;69.772,5;171.903,75;4.245,25;242.498;371.422,25;214.744,5;35.343,5;26.554,25;112.691
26.08.2017;00:00;00:00;106.583,5;47.700,25;3.658,5;41.823,5;152.021,25;4.226,75;241.396;367.900,5;177.415,25;26.147,25;17.165,75;89.323
27.08.2017;00:00;00:00;106.243;46.181,25;20.801,25;113.025;147.843;4.116,25;240.619;384.536,5;76.777,75;23.297,5;16.551,25;62.261,75
28.08.2017;00:00;00:00;105.177;45.184;2.590,5;32.813,75;178.631,75;4.264,5;242.370,25;382.828;217.364,75;42.124,25;31.593,75;107.239
29.08.2017;00:00;00:00;104.594;45.833,25;16.749,5;83.221,75;193.583,75;4.268;241.657,75;383.837,75;230.012;40.008,25;28.105,25;116.700,75
30.08.2017;00:00;00:00;103.992,5;44.597,75;28.907,5;150.543,25;152.123,5;4.346,25;239.174,75;393.546,75;228.253,75;42.687;26.212,5;126.150,75
31.08.2017;00:00;00:00;104.214;44.338,75;35.509,25;192.116,75;70.795,25;4.340,5;241.603;376.527;250.035,25;54.010,5;17.735,25;125.418,5
01.09.2017;00:00;00:00;105.746,25;49.443,5;5.329,25;32.467,25;83.406,75;4.354,5;226.576,25;388.368;255.565,5;56.423,25;18.636;125.322,75
02.09.2017;00:00;00:00;106.216;51.645,75;3.949,25;32.335,75;106.187;4.331,5;211.544,25;362.966;176.776;26.801,25;15.407,5;96.988
03.09.2017;00:00;00:00;106.660,5;46.035,5;1.641,75;22.354,75;140.194;4.330,75;212.586,75;369.765,25;114.284;27.878,75;11.385,25;86.827,5
04.09.2017;00:00;00:00;105.283,75;49.835,75;10.079,75;66.711;168.123;4.427,25;212.671,25;358.314,75;235.016,75;50.430,25;28.847,25;128.541,75
05.09.2017;00:00;00:00;104.514,75;52.740,5;33.714,75;70.275;135.541,5;4.514;212.682,75;356.315,25;265.391,5;50.350,75;22.081;143.279,5
06.09.2017;00:00;00:00;104.358;53.752,5;56.340,75;327.469,75;92.002,25;4.409;209.857,5;336.700;145.033,75;30.876,25;25.109,5;124.281,25
07.09.2017;00:00;00:00;105.105,5;53.336,25;51.287,25;296.746,75;100.495,75;4.431,25;210.712,75;328.000;160.446,5;46.593,25;27.802,5;120.639
08.09.2017;00:00;00:00;105.670,75;52.753;66.465,5;443.945,75;82.393,5;4.514;210.276,25;331.020,75;80.670,5;29.926;26.895;104.191,75
09.09.2017;00:00;00:00;106.196,75;51.926,25;13.591,5;287.917,25;63.259,5;4.468,75;211.185,75;324.914,5;70.402,25;27.385,75;28.214;84.794,25
10.09.2017;00:00;00:00;105.579,5;50.935,5;71.390;204.011,5;113.329,5;4.510;193.485;296.869;41.791,75;24.661,5;17.377,5;79.545,5
11.09.2017;00:00;00:00;105.245,25;50.161;90.404,25;489.873,5;102.464;4.427,25;195.576,25;285.492;83.047;31.829,25;28.013,75;101.390,75
12.09.2017;00:00;00:00;105.415,5;50.528,75;64.986,25;405.090,75;103.032,5;4.514,25;212.053,5;313.729,75;86.008,5;33.474,5;34.875,75;110.997,5
13.09.2017;00:00;00:00;104.891,75;49.713,75;67.505,75;685.568,5;76.820;4.405,75;203.001,75;226.652,75;66.402,25;32.769;28.427,75;106.266,25
14.09.2017;00:00;00:00;85.516,5;51.515,75;72.877,5;572.510,75;64.482;4.574,75;211.701,25;292.473,25;71.756,5;34.578;28.927;127.397,75
15.09.2017;00:00;00:00;86.691,75;52.215,5;56.622;294.158,5;120.941,5;4.479;213.104;357.128,25;158.846,5;35.019,25;28.756;144.673,25
16.09.2017;00:00;00:00;86.401;52.905,25;3.866,25;78.467,75;99.446,75;3.928,5;216.490,75;379.103,5;195.589,5;30.265,5;18.298,5;124.704
17.09.2017;00:00;00:00;85.633;52.557,25;2.982,5;19.782,75;119.925,75;3.932,5;213.678,75;379.655,25;174.691;31.523,25;14.907,75;115.982,75
18.09.2017;00:00;00:00;85.271,75;51.038,5;3.833,25;50.321,25;106.991,5;3.888,75;217.729,25;370.490,75;293.230,25;89.137,25;27.290;167.016,25
19.09.2017;00:00;00:00;85.478,5;50.906,75;19.847,75;55.957,25;93.990;3.930,75;217.154,25;380.582,75;294.040,5;89.302,25;26.151;171.895
20.09.2017;00:00;00:00;86.396,25;51.102,5;39.334,75;105.437,75;85.205,75;3.927,25;215.876,5;381.523,75;287.093,5;78.489,75;27.044;157.254,5
21.09.2017;00:00;00:00;86.381;51.011;17.451,25;33.325,75;123.772,25;4.095,75;215.237,25;390.468;283.498,5;73.555,75;22.024,5;162.128,25
22.09.2017;00:00;00:00;85.870;50.029;5.385,5;11.681,25;113.891,25;4.098,25;216.512,25;388.523,75;298.141,5;74.545,5;27.318,5;160.173,5
23.09.2017;00:00;00:00;105.763,5;48.576,75;2.452,75;22.323;117.185;3.896,75;210.742;368.925;235.036,5;57.439,25;19.802;129.086
24.09.2017;00:00;00:00;105.253;47.668,5;9.314,75;39.155,5;88.861;3.904;201.514;352.858;205.684,5;40.625,5;17.374,25;112.334,75
25.09.2017;00:00;00:00;105.239;46.621,25;34.188,25;69.363;91.454,5;3.908,75;199.450,75;358.030,25;301.823,75;94.112,75;36.200;154.404,5
26.09.2017;00:00;00:00;105.881,5;47.091,5;38.256,5;97.904,75;102.236,25;4.136,5;200.396;357.687;289.964,75;101.753,75;31.512,75;157.052,25
27.09.2017;00:00;00:00;106.420,5;46.901,5;46.115,5;97.184,25;108.036,75;4.284,25;201.473,25;353.863,25;293.744;99.147,75;30.652;161.575,25
28.09.2017;00:00;00:00;106.398,5;45.292,25;41.423;94.593,75;84.594,75;4.058;230.377;350.983,75;257.995,25;101.879,5;26.177,25;157.633,75
29.09.2017;00:00;00:00;107.051;43.511,5;49.018,75;118.857,5;99.957,25;4.510;244.268,75;364.780,5;246.913,75;89.829,75;24.441,75;146.654,75
30.09.2017;00:00;00:00;107.012;40.830,75;29.897,5;176.491,25;91.065,75;4.424,5;240.216;375.300,25;127.406,25;47.632;20.210,5;92.556,75
01.10.2017;00:00;00:00;105.455,75;42.390,5;59.419,75;138.674,75;87.195,25;4.491,25;243.555,5;351.541,5;46.730;37.313;23.948;81.728,75
02.10.2017;00:00;00:00;105.496,25;44.386,25;105.107;467.738,75;55.170,25;4.494,75;232.907,75;284.382,75;33.942;39.492,75;29.026,25;96.636,25
03.10.2017;00:00;00:00;105.671,75;46.353,75;102.976,25;361.435,25;79.475,25;4.470,5;234.684,25;286.359,25;40.392,25;38.144,25;26.731,5;97.864,75
04.10.2017;00:00;00:00;105.317,25;49.434,25;96.178,25;522.865,25;74.265,75;4.463,5;242.350,25;298.725,5;65.156,5;60.350,25;29.846,75;96.896,75
05.10.2017;00:00;00:00;103.791;47.709,75;96.083;650.043,5;70.284,75;4.439,75;237.499,5;278.413,5;36.648,25;46.646,5;29.534,75;106.729,5
06.10.2017;00:00;00:00;104.509,75;48.879;105.247,5;500.959,75;68.365;4.637,5;241.076,5;310.320;67.436,25;53.802,5;32.426,75;114.180,5
07.10.2017;00:00;00:00;106.186;49.012;105.558,5;533.859;52.326,25;4.540,5;229.079,25;239.294,25;34.257;34.712;15.484,75;98.950,5
08.10.2017;00:00;00:00;106.228,25;48.829,5;59.499,5;285.865;61.002,25;4.473,5;236.617,75;303.999,25;80.358,75;34.698,25;22.528,75;97.301,75
09.10.2017;00:00;00:00;105.683;47.776,5;16.588,5;146.300,5;68.709,5;5.048,75;247.186,25;359.549,75;281.255,5;96.073;36.341,25;142.451,5
10.10.2017;00:00;00:00;106.014,5;47.162;49.635,75;263.433,5;36.635,5;5.024;246.409,75;365.703;258.270,25;64.410,25;30.507,75;149.440,75
11.10.2017;00:00;00:00;106.045;44.825,75;85.668;432.010,25;63.035,75;4.704;240.462,5;341.424,75;151.539;46.068;30.506;124.618,25
12.10.2017;00:00;00:00;105.692,75;42.719,5;72.734,75;566.240,5;78.488,5;4.609,5;239.532,75;279.134;101.082,75;50.963,25;26.718,25;110.285,25
13.10.2017;00:00;00:00;107.006,5;42.140,75;80.778,25;227.896,25;91.525;4.636,5;243.236,5;352.949,75;220.736,75;64.668,25;38.187,5;135.490,75
14.10.2017;00:00;00:00;106.504;41.222,75;95.119,75;213.995,5;110.629,75;4.599,25;240.867,25;361.072,75;108.017,75;36.702,75;24.962;91.986,5
15.10.2017;00:00;00:00;106.148,25;38.541,25;62.025,75;146.961,25;123.717,75;4.524,75;240.317;360.161,75;85.378,5;33.526,25;17.636,25;92.055,75
16.10.2017;00:00;00:00;105.192,75;36.966;36.691,5;216.836,75;118.553,5;4.362;244.235;370.131,5;257.019,75;75.516,25;29.982;122.255
17.10.2017;00:00;00:00;104.803;37.564,25;78.022,5;199.977,25;106.554,75;4.240,5;240.432;372.077,25;264.511,5;91.689,75;28.558,75;131.386,5
18.10.2017;00:00;00:00;105.524,25;38.857,5;20.118,5;51.345;98.499,5;4.453;244.252,5;385.576,25;306.091,75;118.186;40.274,5;151.466,5
19.10.2017;00:00;00:00;105.382,75;38.749;40.446,75;102.624,25;95.179,5;4.510,5;244.500;384.399,75;282.568,5;111.834;25.383,5;156.934,5
20.10.2017;00:00;00:00;106.144;35.996,25;69.830;288.268,75;62.918,5;4.473,25;241.259;378.161,25;185.099,5;77.651;22.454,5;137.511
21.10.2017;00:00;00:00;106.975;34.614;64.638,5;212.062,25;44.625,5;4.536,5;238.317,5;394.100,5;122.632,25;38.114,75;23.874,25;109.627,75
22.10.2017;00:00;00:00;106.816;35.141;74.899;365.208,75;46.077,25;4.593,25;241.229;342.281,75;44.060,75;34.877,25;18.096,5;95.617,75
23.10.2017;00:00;00:00;107.074,5;36.558,25;35.170,25;240.929,75;30.341;4.928,5;243.607,25;401.362,5;254.494,75;96.270,5;32.147,25;146.239,25
24.10.2017;00:00;00:00;107.074,25;39.020,5;63.882,75;201.902,25;41.478,75;4.908;240.812,75;404.031,75;255.090;83.806,75;20.714,5;149.714,5
25.10.2017;00:00;00:00;105.834,25;37.358,5;73.770,25;392.518,75;52.359,75;4.735,25;242.854,25;386.428,75;150.031,75;63.150,25;23.968,5;114.859
26.10.2017;00:00;00:00;105.965,75;37.047,75;90.391,75;228.562,25;54.839,5;4.729,75;242.238,75;389.834,25;210.523,75;97.346,25;32.009,5;129.221,25
27.10.2017;00:00;00:00;106.626,75;38.879,75;79.148,75;445.186,75;52.373;4.866,75;239.801,75;359.340,25;92.141,25;61.217,75;30.111,25;93.809
