Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
05.02.2015;00:00;00:00;97.081,25;33.822,75;5.602;112.927,75;29.039;3.410;272.496,5;419.037;339.374,25;87.585,5;31.225;245.107,75
06.02.2015;00:00;00:00;96.877;32.300,5;1.745,25;172.794,5;46.342;3.428,25;272.426,5;425.162,25;320.107,25;62.735,25;30.115;230.200,5
07.02.2015;00:00;00:00;97.028,25;31.498,75;13.894,5;251.384;46.831,25;3.102,5;266.636,25;370.363,75;197.408,75;54.030;27.405,5;159.861,25
08.02.2015;00:00;00:00;97.401;29.634,5;15.964;396.206,5;52.428,5;2.788,5;244.010,25;305.876;108.919,25;46.476;22.993,5;146.572,5
09.02.2015;00:00;00:00;96.572,25;28.714,5;17.228,25;371.386;15.048,75;3.144,5;270.421,5;376.337,5;238.943;60.929,25;27.364,25;213.573,25
10.02.2015;00:00;00:00;97.645,75;30.728,75;10.610;143.115,5;24.127;3.334,75;272.096,75;424.264,5;323.071,75;73.138,75;22.320;235.290,5
11.02.2015;00:00;00:00;97.220,5;30.882,75;760,75;26.261,75;28.009,5;3.273,25;272.679,25;425.961;363.684;84.644,25;28.984,5;245.278,75
12.02.2015;00:00;00:00;96.953;31.503,25;824,75;22.821,25;40.587;3.394,75;272.747,5;427.596,75;371.705,5;68.828,25;34.890,5;240.071,5
13.02.2015;00:00;00:00;96.844,25;32.145,75;8.094;83.745,75;64.533;3.379;272.253,25;425.306,75;339.556;56.802;28.420;233.986,25
14.02.2015;00:00;00:00;97.068,5;29.681,25;10.480,75;106.553;67.186;3.372;271.013,25;398.623;263.928,25;44.114;25.967;179.617
15.02.2015;00:00;00:00;96.376,75;27.404,5;17.464,25;181.931;60.939,25;2.814,75;269.052,75;380.060;182.137,25;38.659;17.545,25;148.541,25
16.02.2015;00:00;00:00;95.810,75;27.673,25;12.911,25;196.276,25;60.863;2.775,5;266.339,25;386.119,75;305.146;53.211,75;22.502,5;213.222,75
17.02.2015;00:00;00:00;95.982,25;30.202;4.633,5;62.855,5;40.311,25;3.039;270.188,25;418.857;344.595,75;65.219;34.787,25;240.480,5
18.02.2015;00:00;00:00;95.458,25;32.459;15.271,25;112.829,5;40.083,75;3.252,25;265.235,5;422.642,5;352.509,5;61.446,5;25.792,25;233.089,5
19.02.2015;00:00;00:00;95.072,25;32.608,75;17.781,25;221.703,5;62.936,75;3.225,5;269.745,75;404.669,25;320.790,75;59.248,25;30.235,75;223.687,5
20.02.2015;00:00;00:00;95.272,5;29.757,25;12.337;320.161,75;79.745,5;3.012,5;266.023,75;381.130;276.530,5;55.250,75;21.711,5;182.648
21.02.2015;00:00;00:00;95.416;27.946,25;4.134,5;274.206,25;49.620,25;2.371;262.397,25;315.799,25;222.901;34.447;30.717,75;165.255,75
22.02.2015;00:00;00:00;95.626,25;28.054;14.439;135.206,75;52.145,75;2.413;261.822,25;363.470,5;195.215,75;33.650,25;23.431,25;166.883,5
23.02.2015;00:00;00:00;95.516,25;28.641,75;16.934,75;354.994,75;28.046,25;2.442,5;261.923,25;360.109;253.738,75;53.687,5;32.132,75;198.405,25
24.02.2015;00:00;00:00;95.486,25;32.121,5;18.267,5;301.874,25;50.806;2.429;265.700;398.854,25;283.582,5;43.762,75;25.534,25;204.075
25.02.2015;00:00;00:00;95.745,5;31.560;7.703;107.150,75;72.248,25;2.425;266.781;419.474,75;302.799;54.238,5;25.690,75;239.301,5
26.02.2015;00:00;00:00;95.407,5;31.472,25;10.017;158.760,75;106.263;2.465,25;267.122,5;431.258,75;303.458,5;44.370,5;28.883,25;214.236
27.02.2015;00:00;00:00;94.913,5;30.837,25;5.551,75;136.599;65.844,25;2.534,75;267.743,25;429.540,75;320.660,25;43.079,25;35.341,5;223.579,75
28.02.2015;00:00;00:00;95.468,5;31.476,75;15.598,5;177.401,75;82.592,5;2.506;261.691,75;428.260,5;177.809,25;39.984,5;23.632;153.534,5
01.03.2015;00:00;00:00;96.327,75;29.791,5;19.627;434.905,25;36.689,25;1.912,25;243.303,75;372.489,75;61.450,5;37.809,25;26.811,25;156.072,25
02.03.2015;00:00;00:00;96.179,75;32.811;18.369,25;483.546,25;65.600,25;2.168,75;263.067,75;406.073;171.471;49.582;32.483,75;164.171,75
03.03.2015;00:00;00:00;95.826;36.694,75;15.562,5;423.001,75;101.145,5;2.540,5;261.889,25;400.688,25;186.193,5;47.628,75;30.890,25;172.452,5
04.03.2015;00:00;00:00;95.813,75;34.798;18.913,75;362.957,25;70.461;2.737,75;264.458,5;434.514,25;217.247;43.562,75;28.395,75;173.240,5
05.03.2015;00:00;00:00;95.492;34.738,5;11.666;161.206;68.652,5;2.936;265.961,75;438.038,75;311.562,5;42.947,75;31.322,75;210.794,75
06.03.2015;00:00;00:00;95.660,25;35.833,75;16.065;119.917,25;65.593,75;3.095,5;265.357,5;426.124,5;328.365,5;40.170,5;34.283,5;203.996,25
07.03.2015;00:00;00:00;95.455,5;33.823,5;20.235;242.499,5;114.555,75;2.186,75;248.187,75;396.709,25;158.838;29.638,75;25.718,75;137.104,75
08.03.2015;00:00;00:00;95.487,5;31.295,5;18.338,75;190.871,75;134.966,5;1.923,25;234.835,75;402.762,5;113.141,75;29.992,5;19.062,5;133.404,75
09.03.2015;00:00;00:00;95.469,25;31.024,25;8.102,25;64.613,5;118.812,25;2.207,5;238.260,5;424.122;299.322,25;40.696,25;31.140,75;213.553,25
10.03.2015;00:00;00:00;95.487,25;31.943,75;16.433,5;128.493,75;97.028,75;2.192,75;239.012,75;417.759,25;334.352;37.159,5;22.352,75;214.986,75
11.03.2015;00:00;00:00;95.021;31.882,25;5.509,75;124.819;114.653,25;2.015;240.035,5;416.777,75;314.527,75;49.298,25;22.891;211.665,5
12.03.2015;00:00;00:00;93.280,75;31.626,25;5.135,5;65.247;104.666,5;1.408,25;240.263,25;416.405,5;336.124,25;41.251,75;23.367,75;220.004
13.03.2015;00:00;00:00;93.673,5;31.801,75;16.207,75;138.819,5;85.051,75;1.415,5;238.941;407.048,25;296.920;47.762,75;37.484,25;215.757,5
14.03.2015;00:00;00:00;94.425,25;32.238,75;17.424,25;128.219,75;41.483,75;2.242,75;238.919,25;387.968;254.355,75;48.536;27.993,75;180.213
15.03.2015;00:00;00:00;94.404,75;30.331,75;19.743,5;215.616;63.374;2.839,25;233.095;365.408,5;128.341,25;41.167,25;21.073,5;133.293,5
16.03.2015;00:00;00:00;93.805,75;30.040;21.364,25;315.808;117.277;2.345,25;236.451,5;346.734,75;207.643,5;52.932,25;35.614;175.325
17.03.2015;00:00;00:00;94.095,5;31.362;12.501,25;178.212;131.458,75;1.952,25;237.540;386.895,25;257.908;50.008,75;32.095,25;194.087,25
18.03.2015;00:00;00:00;94.861,5;32.604;2.474,25;115.569;149.835,5;2.098;237.125,5;427.487,25;284.444,75;48.318,25;23.937,5;207.344,75
19.03.2015;00:00;00:00;94.731,25;32.809,25;5.836;42.162,75;135.883,25;2.419,75;237.845,75;434.289;323.672,5;37.840,25;36.574;224.339
20.03.2015;00:00;00:00;95.396,75;32.165;6.804;26.563,5;123.324,75;2.666;237.210,75;431.248,25;312.790,25;52.417,5;32.213,25;215.854
21.03.2015;00:00;00:00;95.770,75;31.723,75;16.949,25;136.436;75.308,75;2.649,5;228.853,25;420.486,25;215.363,5;37.715,5;27.863;141.038,5
22.03.2015;00:00;00:00;96.167,75;33.745,5;5.133,5;137.065,5;87.079,75;2.493,75;211.994,5;396.392,75;158.132,25;36.609;32.882;132.588,75
23.03.2015;00:00;00:00;95.271;32.382,25;15.134;54.606,5;113.187,5;2.808,5;218.747;397.491,75;308.771,5;53.570,75;33.998,5;198.713
24.03.2015;00:00;00:00;95.451,5;34.454,75;1.422,5;20.841,75;117.004,25;2.599,25;218.375,75;413.611,25;346.743,25;66.248;29.028,75;207.476,75
25.03.2015;00:00;00:00;95.668;33.655;8.023,75;128.680,75;97.623,75;2.286,75;202.798,5;387.404,5;335.265,75;46.447,75;24.689,25;188.347,25
26.03.2015;00:00;00:00;95.189;33.596,5;12.772,75;109.214;38.510,5;2.087,5;216.036,25;395.937;340.923;74.376,5;42.799;205.473,75
27.03.2015;00:00;00:00;95.244,25;34.146;8.522;210.946;76.243,75;2.426;227.273;400.329,75;288.594,5;43.383,75;28.112;175.148,5
28.03.2015;00:00;00:00;94.731;31.772,5;17.147,25;185.383,75;115.419;2.473,5;226.674,5;402.325,75;144.951,75;29.136,25;22.163,75;92.508,25
