Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;00:00;00:00;34.847.925,75;13.719.344;8.134.378,25;69.042.093,25;34.879.418;945.629,75;84.363.546;133.797.737,75;81.138.682;15.225.937,75;9.937.217,5;52.968.562,5
01.01.2016;00:00;00:00;39.745.459;18.075.859,5;12.093.138;65.274.745,25;34.538.936,25;1.403.463;80.242.466,25;130.375.596,75;80.889.964;22.888.796,25;8.587.613,25;47.343.582,25
01.01.2017;00:00;00:00;40.328.389,5;15.590.070,5;17.414.191,5;85.190.050,75;35.883.181;1.754.386,25;72.213.976,5;129.286.596,75;66.005.509,5;25.580.368;9.290.780,25;48.743.064,75
01.01.2018;00:00;00:00;40.090.463;15.257.652,75;19.068.415,5;89.270.552,25;41.234.283;1.531.134,75;71.841.657;128.361.760,75;71.545.262,5;42.878.209,5;9.135.983,5;12.838.020,5
01.01.2019;00:00;00:00;40.387.606,5;15.830.486;24.382.827;99.878.949;41.914.770,25;1.464.378,75;71.042.164,25;102.728.678;47.815.284,5;54.619.705,25;9.020.582,75;12.730.557,75
01.01.2020;00:00;00:00;40.822.337,25;15.583.446,25;26.883.159,25;103.103.956,25;45.821.578;1.607.736,75;60.923.886,25;83.374.010;34.871.983,75;59.125.990,25;11.528.660;12.929.861,25
01.01.2021;00:00;00:00;39.460.166,75;14.457.191,25;24.010.320,5;89.407.873,5;46.606.884,75;1.542.812;65.405.986,5;98.202.233,25;51.841.756,25;52.405.148;8.721.439,25;12.968.099,5
01.01.2022;00:00;00:00;39.777.283,25;12.381.968,5;24.746.654,5;100.547.337;55.298.837,25;1.218.928;32.824.469,5;103.525.587;62.889.369,75;53.489.939,25;10.603.312,25;9.765.829
